id;name;label;element_name;element_path;display
a3a78be5-e71b-43ff-9852-306f8bccb4c6;Designer Marketing;frictionless Internal;SQL;Electronics Frozen Avon;false
12798ce9-ea35-47b4-b52b-17e71bc02aed;Well synthesize;Supervisor;multi-byte copy;Gloves connect Operations;false
e8c46553-d85d-4498-9bc6-f950f719fde1;concept Verde;Mouse interface compress;Avon;Chief Home navigate;true
0950fb6e-cdc5-460c-be03-d56c36b63d93;facilitate Intelligent;Virginia De-engineered generating;Agent;Dollar;false
7eafd37e-b2a0-452b-a945-7cd6a2af9369;quantifying;invoice synergize;Concrete Fish;California;false
6fe5fe14-674a-4883-9fc1-77756b1cbff6;online Rubber;Loan niches incentivize;deposit Island;mobile;false
c819ec87-28bc-4412-be9c-df7aef3099c9;payment;parsing Shoes;Republic Rustic;24/365 Cambridgeshire;false
7d4bc194-31ee-4d64-b0c4-1cc1f7e087b5;Maine;Dinar program Consultant;SCSI productivity;Frozen Avon Account;false
2e459126-bfcf-408f-9f2e-89cb0599fc19;e-business Representative hard;Ghana online;Belize;Pizza;false
ca51a3d7-4ae1-47a4-a7de-1994d7c0e2ae;Drives South Intranet;bandwidth;e-services Knoll Bacon;brand;true
