id;code;name;label
a8107838-473e-4e86-82b0-6231b398fe5a;Research platforms;Rubber maroon;Senegal matrix
5e81d3cc-eb04-4d6c-b6a4-4a0ee086c7c7;cross-platform;Implemented Factors Anguilla;Dollar
0d6fbb9d-a36c-4184-bd7e-be4f5b89ccd4;parsing evolve Buckinghamshire;HDD Open-source;incremental
ecfd1428-707b-4000-a0b1-98c62e7e5fb1;Avon Money;platforms Cotton Convertible;Health Shilling
3fffed1e-cd5c-4399-a477-b3d3a05c67a3;Paraguay;hack PNG robust;Squares initiatives
5251c815-3ed5-4476-843d-29ca8e75a104;Massachusetts bypass hard;alarm;multi-byte Bedfordshire
5e6c379e-9e32-442f-9059-c21af87e745d;Chicken lavender;THX Executive Congo;Monaco sensor Wisconsin
51aba463-94a1-4b50-88e1-de8077fafee8;Agent solution Haven;adapter Rustic;cross-platform Robust
d76068f9-b7dd-4d80-971f-85889190f52b;Principal Sausages Manager;Avon digital;up sexy
549c73d9-32a5-4642-b2aa-309948adfefd;withdrawal Vision-oriented Baby;connect Gorgeous whiteboard;Fish Account
