id;name;label
feca96ac-3235-4eaf-9230-d3c898b4b411;Borders;Games innovative Bedfordshire
34d1fef3-2b1f-4d6f-8d07-2edd0d1a132b;Checking of User-centric;PNG protocol
6c821074-3234-4042-97dc-98859b25e921;Fresh;parsing overriding deposit
daee190a-ae27-4dd6-a7a9-c64c27311fed;Soft Maine;task-force
ef94bd2f-6d66-4830-88ee-e03b3c9b34b3;Malawi bluetooth;discrete intranet Streets
53369b0f-0388-425b-8e2e-903fa7754c7c;Chips Identity Function-based;Rubber copying redefine
662fd3fa-98b7-4df1-a2a2-dbddd8a3ff20;Fully-configurable Towels Manors;Afghani
ed71d3f4-6bc7-4c18-ac04-4bcfb58978b5;Home;Market
8739e90f-f270-4c23-a5b5-05ce7638a9ae;JBOD;programming index pixel
03f3d1dc-d938-4efb-bfe7-dfce68b5fb82;silver transmitting Frozen;Bermuda revolutionary Implementation
