id;name;label;offre_id
a5557509-1e3d-46e4-ad06-86fc5d2afcfc;Small extend;Steel Chair;pixel Borders Steel
3e3d2d58-abb8-465c-9795-e47fc711744c;Metal Gorgeous ivory;1080p;Tasty Account Directives
b1fc9933-5fe7-4d38-bbf2-0f445f91bb59;connect Division;Iowa matrix Rufiyaa;Account Avon
c1e73482-1893-47b0-9491-c8f6f44d8ebc;Berkshire;Persistent;Corporate reinvent multi-byte
f1238150-b173-4318-a3dc-62e3cb9b322b;Kenyan Clothing;Architect;Rustic cross-platform Cote
43f653e0-3237-4ffe-9db3-e672fe55361d;Metal;ivory;efficient green
72739b1f-4124-4538-a895-c7d4fb0e0885;iterate Hat contingency;logistical Chips vertical;EXE
4e246551-3e71-4746-bb64-d72dcc6a6ea2;enable contextually-based;AGP Cliffs maroon;Greens technologies
116fe7b5-c8e9-41dc-8ede-2b338a4258bc;transmit withdrawal SDD;Account;Mouse payment
b2255b97-49d9-413d-a448-2d22baa63e10;salmon Money Investment;Account;Garden
